POI_id,POI_catid,POI_catid_code,POI_catname,POI_catname_,latitude,longitude,city,countryCode
4b196b3af964a52000dd23e3,7ab55411dbce49ccbf61c9545a64890a,92,Sandwich Place,Food,33.479985,-112.077729,Phoenix,US
4e7fa10fb8f76e28c2deef16,0b5817ff78e943bc9fd7436a113f0a6e,279,City,Outdoors & Recreation,33.503444,-112.073675,Phoenix,US
4a901a25f964a520021620e3,e6efad379be046779b363be07120fb3b,108,Coffee Shop,Drink,33.61045,-112.147466,Phoenix,US
4b6c79fdf964a520433d2ce3,d3290a46c9eb4cb99ce99764282e277c,232,Office,Professional & Other Places,33.395368,-111.959878,Phoenix,US
4e559d4fe4cd779e8338d337,9a05945e7e7b4b53b34196d9b90167ec,217,Coworking Space,Professional & Other Places,33.455487,-111.965726,Phoenix,US
42474900f964a52084201fe3,5f1f19a541254cd7b23089e3fbdc26e1,267,University,College & University,33.608982,-112.161211,Phoenix,US
4a66768cf964a52097c81fe3,725570cd0acc4d93ad23408f11cfc934,114,Gym / Fitness Center,Outdoors & Recreation,33.45291,-112.07553,Phoenix,US
449e9fb9f964a520c0341fe3,d10b904561624510ac517c143d3ec50c,119,Airport,Travel & Transport,33.435624,-112.003066,Phoenix,US
4b155041f964a52038b023e3,f17a5a4561a1465aac7dd895f51f2db8,186,College Football Field,College & University,33.527515,-112.262635,Phoenix,US
4f342a26e4b0935810c13353,63d9312cc53145078f913e313ae05925,280,Casino,Arts & Entertainment,33.39432,-111.959693,Phoenix,US
4aba4c07f964a520c78020e3,ddd9bf147a654b719b76797b0c8baafd,275,General College & University,College & University,33.410859,-112.015503,Phoenix,US
4ae0a43af964a520318121e3,c8f5a88cbd0d4c2a9768889ee697d478,148,Convenience Store,Shop & Service,33.579529,-112.098983,Phoenix,US
4a4ea188f964a520d6ae1fe3,af2a3ecb7a1c46e8b136a82d4110ac64,290,Mexican Restaurant,Food,33.491267,-112.079237,Phoenix,US
4b11d511f964a520a58523e3,82dd00b83524497bab2d367f1e2b36ab,287,Grocery Store,Shop & Service,33.597462,-112.150016,Phoenix,US
4a7a401ff964a520fce81fe3,8cf164ecb8df4183a8f156da8017a5a5,197,Hiking Trail,Outdoors & Recreation,33.539612,-112.023147,Phoenix,US
4bdab3573904a593710d479e,d11166e1718548a090ac0d4a663e8907,289,Tech Startup,Professional & Other Places,33.434306,-112.207918,Phoenix,US
4c2f7bf5a0ced13ada9a106e,d3290a46c9eb4cb99ce99764282e277c,232,Office,Professional & Other Places,33.425918,-111.961829,Phoenix,US
4c4b46759e6dbe9a5ac7d10b,820320f0543841c1bd3e7508852147f2,193,Gas Station / Garage,Shop & Service,33.49515,-112.057478,Phoenix,US
4a84fdf5f964a520fcfd1fe3,134ed7259fbb41fd9b5902acbb6be6d1,68,Department Store,Shop & Service,33.520897,-112.098139,Phoenix,US
4ab918c4f964a520fb7d20e3,82850b4350904bf7ae2306ab043e7754,282,Sports Bar,Nightlife Spot,33.445671000000004,-112.066866,Phoenix,US
4c5750ee2308be9ac3ef586c,d3290a46c9eb4cb99ce99764282e277c,232,Office,Professional & Other Places,33.393908,-111.959419,Phoenix,US
4baa8c7bf964a520a6733ae3,53efab68625543b88fe4eb1111a86dd7,66,Fast Food Restaurant,Food,33.495153,-112.061797,Phoenix,US
414b7a80f964a520d01c1fe3,e6efad379be046779b363be07120fb3b,108,Coffee Shop,Drink,33.500469,-112.074053,Phoenix,US
4e570336fa7624d9bbab93a9,8587dc8e63084709b52cfe210e318ea0,107,Fried Chicken Joint,Food,33.5814,-112.118829,Phoenix,US
4bad5e11f964a520c04a3be3,28e6f80ad4054eda8341b3a553212021,23,Japanese Restaurant,Food,33.533429,-112.261253,Phoenix,US
4ed561329adf3fc7afcb62b3,97cbed00dcbb4a50be73e5ab5f007309,149,Dance Studio,Arts & Entertainment,33.640802,-112.120655,Phoenix,US
4e6bc4edae609509560e72a2,4331c0b145b54e08954ad86768e5526d,236,Burger Joint,Food,33.538074,-112.063149,Phoenix,US
4a837a65f964a5203ffb1fe3,a0789738c36845869f3ce75c08096039,88,Miscellaneous Shop,Shop & Service,33.390549,-112.136915,Phoenix,US
4aec5f71f964a52071c621e3,0b930a0245ff477a933890dbbe344d0f,227,Train Station,Travel & Transport,33.520454,-112.099745,Phoenix,US
4c85b06347cc224bce9ba39f,0b5817ff78e943bc9fd7436a113f0a6e,279,City,Outdoors & Recreation,33.448251,-112.07376200000002,Phoenix,US
472eda7ef964a520094c1fe3,d0304d4e99ef4d63afae4071a1a26ce4,2,Baseball Stadium,Arts & Entertainment,33.445515,-112.066748,Phoenix,US
4a7620dbf964a52054e21fe3,cae079240fe94f6da2d9525b8274c175,34,Mall,Shop & Service,33.522793,-112.09548,Phoenix,US
4edd5b7c0aaf49e02d1c3a19,af2a3ecb7a1c46e8b136a82d4110ac64,290,Mexican Restaurant,Food,33.448111,-112.074234,Phoenix,US
4e8a490fdab4414a6b0172e1,12104e23b34f4b659166af7c1fca1b2a,245,Home (private),Residence,33.661436,-112.077445,Phoenix,US
4b6de390f964a52005992ce3,53efab68625543b88fe4eb1111a86dd7,66,Fast Food Restaurant,Food,33.610499,-112.12017,Phoenix,US
4b110ff3f964a520d47723e3,c8f5a88cbd0d4c2a9768889ee697d478,148,Convenience Store,Shop & Service,33.508708,-112.273333,Phoenix,US
4b0ab6f9f964a520d12623e3,ddd9bf147a654b719b76797b0c8baafd,275,General College & University,College & University,33.673746,-112.077826,Phoenix,US
