node_name/poi_id,checkin_cnt,poi_catid,poi_catid_code,poi_catname,latitude,longitude
4dd83121e4cd37c893bfa0b5,11,12104e23b34f4b659166af7c1fca1b2a,245,Home (private),33.621598,-112.005905
4a593b53f964a5200eb91fe3,7,51c5a79f4a3c43628c3e944286e49400,135,Movie Theater,33.641509,-112.00863
4f23430fe4b05160ada59bbf,8,16cc1f7d21c748beafcc3a4e0a4c770f,14,Bar,33.59773,-111.978562
4b1d390cf964a520390d24e3,4,fc331a5b59d640c6bb463fdce01c0a1f,340,Building,33.518,-112.081814
4a50168af964a520f5af1fe3,17,d28ecd5a004e4972896b64560c14990a,278,Light Rail,33.508651,-112.075296
513fbb3be4b0f3cc424fef29,1,12104e23b34f4b659166af7c1fca1b2a,245,Home (private),33.527529,-112.053599
4d9e33c20efda0934b2cac28,12,82850b4350904bf7ae2306ab043e7754,282,Sports Bar,33.522971000000005,-112.049389
4a429f4df964a5200aa61fe3,8,6e03750d63eb4afa9c0a00b350ceca31,370,Pub,33.449539,-112.065457
4a7d1893f964a5207eee1fe3,22,6e03750d63eb4afa9c0a00b350ceca31,370,Pub,33.450249,-112.074298
4ccd15b554f0b1f745c61aca,18,6e03750d63eb4afa9c0a00b350ceca31,370,Pub,33.509484,-112.061484
4b9c0185f964a520ea3f36e3,26,064daa50ba5d4246b72ea2f93a19a78a,354,Gay Bar,33.501243,-112.082926
4b9cb933f964a520347836e3,23,064daa50ba5d4246b72ea2f93a19a78a,354,Gay Bar,33.466082,-112.044514
4b5df632f964a520367629e3,10,82dd00b83524497bab2d367f1e2b36ab,287,Grocery Store,33.52480300000001,-112.20416000000002
4c57b4c4744a0f47f2b0c9cb,38,da5c52ae1a514f07be40e2039a1d8302,357,Residential Building (Apartment / Condo),33.533882,-112.205764
4b5f8695f964a52089bf29e3,15,134ed7259fbb41fd9b5902acbb6be6d1,68,Department Store,33.551616,-112.179672
4b130f62f964a520869323e3,5,134ed7259fbb41fd9b5902acbb6be6d1,68,Department Store,33.526352,-112.132505
47e9a02ef964a5205f4e1fe3,28,064daa50ba5d4246b72ea2f93a19a78a,354,Gay Bar,33.466021999999995,-112.015334
4b5be373f964a520c41b29e3,20,064daa50ba5d4246b72ea2f93a19a78a,354,Gay Bar,33.496097,-112.083247
4f9714550cd63b57ec3e9cb9,13,cae079240fe94f6da2d9525b8274c175,34,Mall,33.534741,-112.266884
4b3fed0ef964a52043b225e3,92,064daa50ba5d4246b72ea2f93a19a78a,354,Gay Bar,33.508874,-112.083721
4b299c43f964a520aea124e3,13,f12245572898439886377df1f8db3fde,156,American Restaurant,33.509501,-112.073262
4b153782f964a5206ca923e3,23,ebb3b187f7f4428cb11a4ee8769d806c,104,Electronics Store,33.508107,-112.040374
4ab29e1df964a520a76b20e3,5,af2a3ecb7a1c46e8b136a82d4110ac64,290,Mexican Restaurant,33.509526,-112.04254
472f0debf964a520124c1fe3,22,ae687552505e43c7a99d4f3a77bb130d,288,Multiplex,33.453571999999994,-112.069194
4a99627cf964a5200d2e20e3,9,d8a4c0db54bf4c6da5102833c19f8a36,39,Diner,33.513409,-112.047937
4a837a65f964a5203ffb1fe3,5,a0789738c36845869f3ce75c08096039,88,Miscellaneous Shop,33.390549,-112.136915
4a6fac86f964a520c7d61fe3,6,d65836ca9e304c19b593a09a5653bad4,359,Hotel,33.460348,-111.985904
472eda7ef964a520094c1fe3,134,d0304d4e99ef4d63afae4071a1a26ce4,2,Baseball Stadium,33.445515,-112.066748
4a847c90f964a520bcfc1fe3,14,ebb3b187f7f4428cb11a4ee8769d806c,104,Electronics Store,33.37896,-111.972065
4bd264df462cb7136066dc07,2,f61eeed0b51040d49e94b6dac8ca42a9,111,Breakfast Spot,33.378734,-111.969037
