user_id,POI_id,POI_catid,POI_catid_code,POI_catname,POI_catname_,latitude,longitude,local_time,time_offset,city,countryCode,UTC_time,SplitTag,traj_id,norm_in_day_time
168,4e7fa10fb8f76e28c2deef16,0b5817ff78e943bc9fd7436a113f0a6e,279,City,Outdoors & Recreation,33.503444,-112.073675,2012-04-03 11:23:00,-420,Phoenix,US,2012/4/3 18:23,train,168_1,0.47430555555555554
168,4aec5f71f964a52071c621e3,0b930a0245ff477a933890dbbe344d0f,227,Train Station,Travel & Transport,33.520454,-112.099745,2012-04-03 14:51:00,-420,Phoenix,US,2012/4/3 21:51,train,168_1,0.61875
168,4a7620dbf964a52054e21fe3,cae079240fe94f6da2d9525b8274c175,34,Mall,Shop & Service,33.522793,-112.09548,2012-04-03 14:54:00,-420,Phoenix,US,2012/4/3 21:54,train,168_1,0.6208333333333333
168,4a84fdf5f964a520fcfd1fe3,134ed7259fbb41fd9b5902acbb6be6d1,68,Department Store,Shop & Service,33.520897,-112.098139,2012-04-03 15:54:00,-420,Phoenix,US,2012/4/3 22:54,train,168_1,0.6625
168,4bfb637b8f32ef3b981605aa,0b930a0245ff477a933890dbbe344d0f,227,Train Station,Travel & Transport,33.501412,-112.073821,2012-04-03 16:09:00,-420,Phoenix,US,2012/4/3 23:09,train,168_1,0.6729166666666667
168,4c2e27dc260bc9289b341bd3,da5c52ae1a514f07be40e2039a1d8302,357,Residential Building (Apartment / Condo),Residence,33.501622999999995,-112.074397,2012-04-03 16:37:00,-420,Phoenix,US,2012/4/3 23:37,train,168_1,0.6923611111111111
168,4c2e27dc260bc9289b341bd3,da5c52ae1a514f07be40e2039a1d8302,357,Residential Building (Apartment / Condo),Residence,33.501622999999995,-112.074397,2012-04-04 06:52:00,-420,Phoenix,US,2012/4/4 13:52,train,168_1,0.2861111111111111
168,4c85b06347cc224bce9ba39f,0b5817ff78e943bc9fd7436a113f0a6e,279,City,Outdoors & Recreation,33.448251,-112.07376200000002,2012-04-04 16:42:00,-420,Phoenix,US,2012/4/4 23:42,train,168_1,0.6958333333333333
168,4bfb637b8f32ef3b981605aa,0b930a0245ff477a933890dbbe344d0f,227,Train Station,Travel & Transport,33.501412,-112.073821,2012-04-04 17:01:00,-420,Phoenix,US,2012/4/5 0:01,train,168_1,0.7090277777777778
168,4c2e27dc260bc9289b341bd3,da5c52ae1a514f07be40e2039a1d8302,357,Residential Building (Apartment / Condo),Residence,33.501622999999995,-112.074397,2012-04-04 17:20:00,-420,Phoenix,US,2012/4/5 0:20,train,168_1,0.7222222222222222
168,4a53c00af964a520b1b21fe3,af2a3ecb7a1c46e8b136a82d4110ac64,290,Mexican Restaurant,Food,33.488921000000005,-112.082997,2012-04-07 10:38:00,-420,Phoenix,US,2012/4/7 17:38,train,168_2,0.44305555555555554
168,4c2e27dc260bc9289b341bd3,da5c52ae1a514f07be40e2039a1d8302,357,Residential Building (Apartment / Condo),Residence,33.501622999999995,-112.074397,2012-04-07 17:38:00,-420,Phoenix,US,2012/4/8 0:38,train,168_2,0.7347222222222223
168,4e7fa10fb8f76e28c2deef16,0b5817ff78e943bc9fd7436a113f0a6e,279,City,Outdoors & Recreation,33.503444,-112.073675,2012-04-07 18:38:00,-420,Phoenix,US,2012/4/8 1:38,train,168_2,0.7763888888888889
168,4f0bffb4e4b0baf8306c49d7,990da1c80a024e73bdcb1496c08293a5,173,Field,Outdoors & Recreation,33.501437,-112.07413,2012-04-07 22:48:00,-420,Phoenix,US,2012/4/8 5:48,train,168_2,0.95
168,4c2e27dc260bc9289b341bd3,da5c52ae1a514f07be40e2039a1d8302,357,Residential Building (Apartment / Condo),Residence,33.501622999999995,-112.074397,2012-04-08 10:40:00,-420,Phoenix,US,2012/4/8 17:40,train,168_2,0.4444444444444444
168,4a595b91f964a5204bb91fe3,f12245572898439886377df1f8db3fde,156,American Restaurant,Food,33.506915,-112.074183,2012-04-08 13:02:00,-420,Phoenix,US,2012/4/8 20:02,train,168_2,0.5430555555555555
